Course, 1251,   1255,   1259,   1261,   1265,   1269,   1271,   1275,   1279,   1281,   1285,   1289,   1291,   1295,   1299
CHE514, 0,      0,      0,      1,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0
CHE516, 0,      0,      0,      1,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0
CHE520, 0,      0,      1,      0,      0,      1,      0,      0,      1,      0,      0,      1,      0,      0,      0
CHE521, 0,      0,      1,      0,      0,      1,      0,      0,      1,      0,      0,      1,      0,      0,      0
CHE522, 0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0
CHE523, 0,      0,      0,      1,      0,      0,      1,      0,      0,      1,      0,      0,      0,      0,      0
CHE541, 0,      0,      0,      1,      0,      0,      1,      0,      0,      1,      0,      0,      0,      0,      0
CHE543, 0,      0,      0,      1,      0,      0,      1,      0,      0,      1,      0,      0,      0,      0,      0
CHE560, 0,      0,      0,      1,      0,      0,      1,      0,      0,      1,      0,      0,      0,      0,      0
CHE561, 0,      0,      0,      1,      0,      0,      1,      0,      0,      1,      0,      0,      0,      0,      0
CHE562, 1,      0,      0,      1,      0,      0,      1,      0,      0,      1,      0,      0,      1,      0,      0
CHE564, 0,      0,      1,      0,      0,      1,      0,      0,      1,      0,      0,      1,      0,      0,      1
CHE565, 1,      0,      0,      1,      0,      0,      1,      0,      0,      1,      0,      0,      1,      0,      0
CHE571, 1,      0,      0,      1,      0,      0,      1,      0,      0,      1,      0,      0,      1,      0,      0
CHE572, 0,      0,      1,      0,      0,      1,      0,      0,      1,      0,      0,      1,      0,      0,      1
CHE574, 0,      0,      1,      0,      0,      1,      0,      0,      1,      0,      0,      1,      0,      0,      1
